"","Velo","SpinRate","HorzBreak","InducedVertBreak","Predicted_Hits"
"52",92.75,2444,-0.37,13.54,0
"53",96.36,2799,1.43,12.44,0
"54",88.32,2289,2.7,18.12,1
"55",89.24,2099,4,18.98,1
"56",94.81,1939,10.58,14.59,0
"57",94.95,2228,3.24,19.51,0
"58",91.72,2227,2.03,16.19,1
"59",92.98,2193,20.09,7.2,0
"60",95.68,2169,13.62,14.62,0
"61",90.69,2274,3.79,17.91,1
"62",94.77,1860,10.63,12.25,1
"63",93.23,2270,9.65,16.73,0
"64",95.39,2103,16.47,13.96,1
"65",92.07,2028,9.99,17.24,0
"66",97.67,2792,12.23,10.93,0
"67",95.3,2155,5.69,19.92,0
"68",94.43,1910,3.12,12.78,1
"69",93.48,2333,13.84,11.14,0
"70",98.56,2132,13.3,10.25,1
"71",94.08,2041,4.45,10.39,0
"72",94.19,2448,6.54,20.37,0
"73",93.96,1892,7.86,16.15,0
"74",94.16,2479,5.98,21.57,0
"75",93.9,2190,16.36,8.61,0
"76",94.43,2037,15.55,12.56,1
"77",93.32,2366,1.29,18.94,0
"78",92.7,2341,2.38,22.79,0
"79",93.34,1913,16.33,7.03,1
"80",92.42,2182,10.7,14.98,0
"81",92.02,2263,14.03,15.01,0
"82",93.04,2264,10.22,14.53,0
"83",94.05,2253,12.93,16.38,0
"84",93.43,2030,10.97,13.58,0
"85",92.03,2247,2.57,18.07,0
"86",93.77,2034,4.07,16.63,0
"87",94.8,2219,11.8,6.13,0
"88",97.68,2538,9.88,19.23,0
"89",85.09,1771,12.72,8.1,0
"90",88,1786,13.5,5.5,1
"91",92.68,2080,6.85,14.92,0
"92",96.71,2201,16.14,7.46,0
"93",92.52,2408,16.07,13.7,0
"94",97.32,2046,9.6,16.26,0
"95",95.78,2257,15.84,6.45,0
"96",94.53,2060,16.93,5.06,0
"97",94.7,2544,6.52,15.04,1
"98",94.71,2181,3.15,16.58,0
"99",96.12,1626,2.93,13.45,0
"100",91.7,2275,19,7.15,0
"101",94.18,2060,4.41,15.27,1
"102",94.23,2278,6.96,20.41,0
"103",94.97,2303,3.8,18.51,0
"104",93.76,2356,9.5,16.61,1
"105",93.07,2450,3.11,16.04,0
"106",94.99,2541,13.25,17.8,1
"107",95.49,2400,7.38,14.16,0
"108",94.82,2538,15.16,9.42,0
"109",92.41,2288,12.82,16.42,0
"110",93.34,2113,11.46,15.13,0
"111",95.29,1836,3.34,14.34,0
"112",95.29,2582,10.51,20.09,0
"113",87.81,2174,13.33,13.61,0
"114",90.93,2437,1.64,25.53,1
"115",93.83,2067,6.62,17.77,0
"116",91.66,2232,1.41,20,0
"117",95.73,2462,14.35,14.66,0
"118",89.94,2310,18.41,16.98,0
"119",93.03,2480,8.87,17.02,0
"120",92.38,2132,14.34,9.21,1
"121",93.92,2294,9.1,19.55,0
"122",96.14,2134,12.14,14.99,0
"123",97.3,2393,10.53,16.83,0
"124",90.91,2069,16.27,9.02,0
"125",95.09,2434,10.88,18.71,0
"126",94.16,2199,20.66,10.69,0
"127",91.91,2135,15.66,8.5,1
"128",95.56,1989,18.83,9.04,1
"129",92.17,2224,8.2,16.33,0
"130",91.16,2146,14.98,17.96,0
"131",93.28,2074,13.23,9.68,1
"132",97.7,2477,6.23,16.61,0
"133",92.17,2266,3.19,19.88,1
"134",93.79,2544,4.16,16.86,0
"135",95.96,2534,14.36,10.7,0
"136",92.69,2189,8.4,9.55,1
"137",93.49,2398,3.45,10.97,1
"138",89.41,2183,14.83,12.44,0
"139",93.79,2261,5.62,19.85,0
"140",91.82,2016,14.92,8.29,1
"141",93.18,2226,14.53,8.82,1
"142",94.14,2474,12.61,16.47,0
"143",95.61,2225,12.88,15.95,0
"144",95.78,2204,15.94,10.09,0
"145",93.44,2077,1.27,16.75,0
"146",92.47,2091,5.59,16.63,0
"147",94.8,2339,15.02,17.12,0
"148",91.77,2472,-0.63,14.15,0
"149",94.5,2033,15.58,13.09,1
"150",96.88,2340,8.34,15.18,0
"151",92.56,1904,13.44,9.82,0
"152",99.9,2137,12.49,5.47,0
"153",89.57,2278,5.12,16.08,0
"154",91.78,2191,9.25,16.09,1
"155",93.32,2054,5.39,15.93,0
"156",96.84,2246,11,14.09,0
"157",92.33,2259,14.71,11.06,0
"158",93.68,2507,0.35,14.83,0
"159",96.56,2398,9.14,18.59,0
"160",95.67,2268,7.44,16.18,0
"161",94.14,2040,17.91,8.71,0
"162",94.68,1860,14.45,9.77,0
"163",92.61,1876,17.58,-6.33,1
"164",94.81,2121,12.85,11.06,1
"165",91.74,2491,-0.55,10.24,1
"166",96.06,2113,10.62,10.88,1
"167",91.79,2073,12.12,15.01,1
"168",93.64,2066,5.87,16.29,0
"169",95.2,2045,15.77,9.69,0
"170",95.82,2388,4.86,19.2,0
"171",92.78,1935,19.37,4.62,0
"172",92.52,2329,6.2,13.44,0
"173",94.79,2187,8.15,16.87,0
"174",94.37,2246,4.62,18.51,0
"175",90.34,1917,5.51,12.14,1
"176",92.12,2498,3.91,20.77,0
"177",94.12,1996,6.45,10.33,1
"178",89.38,2162,8.89,12.15,0
"179",95.16,2247,9.64,17.1,0
"180",92.73,2112,12.97,4.68,0
"181",90.19,2124,12.23,6.36,1
"182",94.3,2470,8.19,17.72,0
"183",94.53,2054,17.8,9.3,0
"184",94.26,2145,6.28,13.85,0
"185",96.19,2278,5.91,14.3,0
"186",96.26,2152,13.38,11.82,1
"187",97.11,2167,8.85,14.13,1
"188",96.5,2546,3.06,18.3,0
"189",94.45,2278,4.59,8.49,1
"190",88.24,2185,3.07,21.57,0
"191",90.6,2274,13.6,15.64,0
"192",91.99,2412,9,20.8,1
"193",95.37,2076,13.53,10.27,0
"194",96.35,2233,8.29,19.09,0
"195",92.98,2064,8.22,14.38,0
"196",94.29,2260,11.04,16.15,0
"197",96.65,2131,6.2,13.07,0
"198",94.2,2428,9.35,17.29,0
"199",91.93,2274,12.25,13.44,1
"200",92.26,2170,3.14,15.02,0
"202",98.67,2187,19.67,5.42,0
"203",90.73,2287,5.73,15.32,0
"204",95.97,2209,9.12,16.76,0
"205",93.82,2171,3.87,13.61,1
"206",94.5,2137,11.56,14.97,0
"207",93.92,2149,6.33,17.92,0
"208",91.62,2292,-1.53,13.78,0
"209",94.79,2256,4.19,14.94,0
"210",90.04,2140,6.21,13.17,0
"211",93.15,2494,11.3,13.64,0
"212",95.86,1995,14.76,5.95,0
"213",94.62,2402,9.35,17.95,1
"214",97.18,2714,8.99,9.06,0
"215",93.71,2505,2.79,19.69,0
"216",93.37,2195,2.65,20.35,0
"217",92.72,1976,15.64,-0.96,0
"218",93.99,2516,4.19,17.88,0
"219",92.91,2302,11.55,17.55,1
"220",91.68,2093,6.16,16.87,0
"221",93.47,1884,17.38,2.74,0
"222",94.43,2104,5.57,19.44,0
"223",92.78,2124,14.84,10.04,0
"224",96.41,2358,5.29,16.62,0
"225",96.98,2345,15,17.21,0
"226",95.29,2312,9.14,15.98,1
"227",90.33,2184,13.99,9.22,0
"228",94.68,2391,10.17,19.24,0
"229",93.59,2062,14.72,4.94,0
"230",95.74,2255,2.68,19.22,0
"231",92.1,2114,1.83,17.39,1
"232",94.73,2106,4.28,16.87,0
"233",97.66,2463,8.53,14.4,0
"234",93.21,1896,13.81,5.09,0
"235",96.37,2172,7.56,17.85,0
"236",94.81,2074,13.8,12.13,0
"237",88.06,2128,11.04,10.09,0
"238",94.28,2224,11.17,16.96,0
"239",97.44,2427,12.29,4.26,0
"240",93.88,3024,11.38,13.43,0
"241",93.16,2354,8.02,19.23,1
"242",94.18,2573,5.16,19.04,0
"243",92.18,2099,5.01,17.84,0
"244",95.2,2315,11.05,14.42,0
"245",92.29,2279,5.54,10.35,0
"246",97.34,2447,7.82,17.31,0
"247",96.15,2335,16.9,10.99,1
"248",95.71,1966,14.75,9.33,1
"249",94.3,2162,16.84,4.23,0
"250",94.36,2209,7.05,15.3,0
"251",98.18,2365,4.7,20.34,1
"252",95.48,2342,11.02,17.82,0
"253",96.55,2552,10.01,15.86,0
"254",94.88,2415,3.8,15.99,0
"255",94.48,2182,17.58,8.8,0
"256",92.43,2083,3.33,15.54,1
"257",94.42,2257,6.86,15.19,0
"258",90.92,2314,10.5,13.03,0
"259",91.84,2489,12.45,13.48,1
"260",90.4,1979,7.02,19.52,0
"261",94.04,2292,13.71,14.71,1
"262",95.17,2573,3.15,19.73,0
"263",93.49,2245,6.7,15.42,0
"264",93.4,2709,2.54,11.02,1
"265",96.98,2156,15.67,3.45,0
"266",91.7,1985,6.88,21.07,1
"267",95.58,2512,9,20.47,0
"268",92.64,2311,6.5,17.39,0
"269",96.81,2246,9,16.31,0
"270",93.77,1994,3.47,14.47,1
"271",95.11,2264,11.82,14.02,0
"272",93.31,2134,5.91,14.58,0
"273",97.6,2250,14.17,14.02,0
"274",89.98,2227,8.5,10.29,0
"275",88.43,2170,15.2,12.37,0
"276",99.44,2290,20.84,6.38,1
"277",93.78,2204,11.44,12.98,0
"278",92.52,2038,6.31,18.71,0
"279",95.22,2372,4.24,18.43,0
"280",92.55,2078,8.79,16.39,0
"281",90.43,2212,9.54,4.86,0
"282",92.44,2219,3.87,4.98,0
"283",92.09,2283,3.96,17.89,0
"284",95.34,2522,6.91,15.24,1
"285",87.78,2285,9.94,18.68,0
"286",99,2152,8.51,18.53,0
"287",95.23,2530,8.02,12.03,1
"288",92.87,2257,1.41,16.39,1
"289",96.48,2266,13.85,12.62,0
"290",98.05,2114,17.05,10.36,0
"291",95.81,2299,13.23,14.33,0
"292",90.35,2217,13.37,15.77,0
"293",92.07,2507,7.09,4.23,1
"294",93.31,2235,11.97,14.05,0
"295",92.86,2107,8.93,15.16,0
"296",95.03,2337,6.5,19.06,1
"297",96.51,2168,14.63,15.04,1
"298",94.86,2320,6.62,17.36,0
"299",96.19,2355,0.95,19.84,0
"300",94.02,2218,14.85,15.01,1
"301",94.34,2054,2.23,6.77,0
"302",94.41,2241,9.36,17.47,1
"303",98.67,2459,15.59,12.4,0
"304",98.06,2462,9.97,13.58,0
"305",84.66,1840,2.44,10.99,0
"306",95.38,2275,8.26,15.53,0
"307",90.05,2060,16.25,7.45,0
"308",91.31,2407,11.08,16.78,0
"309",96.55,2678,14.19,6.25,0
"310",92.63,2172,9.28,16.11,0
"311",89.84,2008,12.99,15.56,1
"312",92.99,2130,-0.83,16.24,1
"313",92.51,2165,11.48,8.29,0
"314",95.68,2544,9.06,18.7,1
"315",94.35,1969,2.96,19.66,1
"316",92.96,2485,4.09,18.73,0
"317",93.4,2176,17.37,7.29,0
"318",92.11,2100,6.88,14.18,0
"319",98.44,2244,20.98,5.3,1
"320",94.56,2305,5.94,18.29,0
"321",89.67,1906,16.88,-1.44,0
"322",95.15,2262,3.02,18.82,0
"323",93.83,2061,9.46,10.7,1
"324",95.36,2322,1.28,21.28,0
"325",95.92,2597,8.96,18.48,0
"326",91.56,2268,15.36,14.35,0
"327",86.26,1856,12.26,8.51,1
"328",93.5,2222,17,8.95,0
"329",94.29,1960,7.3,14.9,0
"330",94.64,3242,18.53,0.83,1
"331",94.93,2212,13.75,15.44,1
"332",95.75,2088,19.56,10.76,0
"333",99.34,2020,14.48,6.05,1
"334",95.58,2088,8.19,19.08,0
"335",93.72,2414,16.65,14.26,1
"336",97.87,2629,6.2,18.78,0
"337",92.67,2281,0.21,22.1,1
"338",96.8,2157,17.34,10.97,1
"339",94.76,2111,15.19,12.37,1
"340",93.17,2299,3.97,16.03,0
"341",92.83,2043,7.57,14.75,0
"342",94.64,2247,14.7,14.95,0
"343",92.97,1903,8.28,11.92,1
"344",98.95,2306,16.01,11.81,1
"345",91.4,2262,12.37,19.1,0
"346",93.96,1999,11.29,11.22,0
"347",91.25,2297,8.02,17.22,0
"348",90.41,2293,5.93,16.36,0
"349",93.83,2560,6.35,17.88,0
"350",93.42,2290,5.8,18.35,0
"351",94.78,2213,8.23,18.46,0
"352",95.42,2496,13.74,14.54,1
"353",92.59,2175,15.75,13,0
"354",95.39,2231,12.7,14.61,0
"355",94.46,2308,13.43,17.31,0
"356",96.37,2511,8.58,18.2,0
"357",89.99,2053,12.05,5.03,0
"358",91.33,2313,6.49,15.63,1
"359",96.57,2549,9.88,17.62,0
"360",93.5,2264,13.08,8.36,0
"361",97.13,2234,12.56,16.34,0
"362",92.57,2355,2.25,18.25,0
"363",95.24,2203,11.43,15.21,0
"364",95.66,1982,3.45,11.01,0
"365",95.81,2328,3.32,14.95,0
"366",94.05,2070,4.41,14.6,0
"367",95.24,2345,11.29,14.97,0
"368",88.52,1897,11.63,5.71,0
"369",96.13,2225,9.06,16.72,0
"370",95.99,2318,8.57,12.65,0
"371",94.07,2302,11.7,13.1,0
"372",96.77,2344,11.34,11.66,0
"373",91.98,2100,2.9,13.32,1
"374",97.23,2033,7.35,18.46,0
"375",92.59,2068,15.68,4.28,0
"376",93.18,2317,13.81,15.7,1
"377",95.23,2211,18.39,5.99,1
"378",96.01,2434,7.88,17.44,0
"379",94.61,2026,11.91,15.69,0
"380",89.67,2051,17.08,12.6,0
"381",94.77,2509,11.16,15.5,0
"382",92.13,2120,17.21,10.09,1
"383",91.98,2177,5.02,19.38,0
"384",91.62,2091,-0.82,17.83,0
"385",94.46,2399,2.5,18.81,1
"386",91.82,2263,8.88,19.23,0
"387",93.64,2153,8.18,17.83,0
"388",94.27,2258,5.29,16.28,1
"389",93.25,2524,4.97,19.36,0
"390",95.53,2099,12.29,15.01,0
"391",95.01,2175,14.94,11.72,1
"392",92.52,2183,5.19,19.86,0
"393",97.1,2063,6.75,16.18,0
"394",95.45,2237,9.16,19.94,0
"395",91.49,2320,-1.89,18.38,0
"396",94.23,2025,10.7,15.77,0
"397",90.74,2171,15.11,12.22,0
"398",93.21,1857,5.8,15.18,0
"399",94.78,1845,13.12,-2.51,0
"400",93.66,2228,13.55,12.24,1
"401",95.07,2203,17.74,10.66,0
"402",91.11,2068,11.48,12.26,0
"403",93.46,2338,12.02,16.27,0
"404",92.98,2039,15.47,8.17,1
"405",93.4,2164,3.23,18.08,1
"406",98.47,2120,17.99,5.64,1
"407",97.76,2518,11.14,17.25,0
"408",95.58,2659,7.56,19.85,0
"409",97.04,2268,6.7,18.19,0
"410",95.71,2433,16.76,11.04,1
"411",93.77,2547,3.6,20.56,0
"412",92.92,2410,4.99,19.43,0
"413",94.9,2235,11.05,16.3,0
"414",90.19,2095,8.94,16.19,0
"415",91.59,2348,13.46,15.96,1
"416",91.03,2196,13.24,7.74,1
"417",93.4,2417,2.18,18.03,0
"418",99.22,2463,12.88,17.29,0
"419",95.92,2381,7.27,15.67,0
"420",90.61,2080,15.1,9.24,1
"421",93.58,1986,19.2,13.56,1
"422",91.71,2079,14.89,11.94,0
"423",94.17,2118,6.39,13.39,1
"424",96.08,2059,14.93,10.09,1
"425",96.07,2605,10.54,17.33,0
"426",98.52,2509,6.16,19.92,0
"427",95.11,2252,18.75,10.45,0
"428",94.56,2546,-0.02,20.73,0
"429",92.27,2109,10.2,18.7,1
"430",97.11,2475,5.51,19.45,0
"431",96.81,2388,16.78,8.22,1
"432",95.63,2362,5.09,16.33,0
"433",95.26,2070,13.04,15.24,0
"434",95.57,2288,1.99,20.91,0
"435",88.02,1742,14.57,10.75,1
"436",97.57,2444,4.39,17.02,0
"437",94.27,2363,4.56,19.21,0
"438",97.25,2238,8.58,14.51,0
"439",98.68,2424,3.3,19.32,0
"440",87.42,1852,15.43,11.5,0
"441",95.47,2588,10.44,17.7,0
"442",94.84,2400,6.21,15.41,1
"443",100.77,1822,13.36,4.85,1
"444",93.69,2411,10.39,16.43,0
"445",92.93,2083,18.29,14.22,0
"446",94.79,2405,8.99,18.35,1
"447",95.35,1981,4.83,16.07,0
"448",92.29,2264,3.64,20.32,0
"449",93.63,2166,8,17.48,1
"450",92.5,2090,10.29,18.28,0
"451",90.59,2008,14.91,9.02,1
"452",94.46,2283,10.57,15.88,1
"453",94.08,2394,6.49,17.37,0
"454",99.03,2530,5.33,18.27,0
"455",94.11,2643,12.24,17.73,1
"456",94.78,2223,2.02,18.65,0
"457",93.51,2161,14.39,9.89,1
"458",93.88,2523,5.21,17.21,0
"459",94.24,2225,7.09,15.95,1
"460",97.37,2201,11.09,13.5,1
"461",94.15,2019,15.74,3.22,0
"462",95.24,2131,9.31,16.63,0
"463",94.43,1960,15.16,11.23,1
"464",94.57,2093,14.23,14.47,1
"465",95.85,2689,3.36,16.83,0
"466",95.57,2210,11.56,17.14,0
"467",95.2,1964,4.32,14.98,0
"468",96.32,2363,2.93,10.31,0
"469",95.15,2229,17.3,10.06,0
"470",93.36,2163,7.93,17.94,1
"471",93.26,2041,16.24,6.35,1
"472",92.79,2430,11.91,12.12,0
"473",90.16,2071,16.76,12.04,0
"474",90.74,2350,13.08,17.56,0
"475",92.08,2321,6.31,15.59,0
"476",92.17,2233,16.35,12.54,0
"477",92.46,2148,14.33,15.66,0
"478",87.45,1895,11.61,6.4,0
"479",91.65,2465,13.71,13.99,1
"480",92.25,1652,8.34,12.01,1
"481",91.39,1993,2.14,17.17,0
"482",91.13,1852,11.51,7.63,1
"483",92.31,2342,14.26,5.9,0
"484",90.02,2001,19.15,-4.54,1
"485",95.27,2120,19.46,3.7,0
"486",90.58,2606,-1.44,20.42,0
"487",93.9,2201,15.19,13.56,1
"488",93.03,2170,8.13,15.78,0
"489",93.49,2337,11.62,14.35,0
"490",98.06,2307,8.42,18.59,0
"491",94.69,2249,11.07,7.68,0
"492",95.43,2328,17.03,7.01,0
"493",98.42,2505,4.56,16.85,0
"494",95.27,2234,12.97,7.66,0
"495",96.62,2277,14.01,11.13,0
"496",90.44,2275,14.91,5.89,0
"497",95.24,2581,7.63,18.19,0
"498",92.24,2292,15.39,17.32,0
"499",90.93,2288,6.73,10.53,0
"500",96.83,1868,8.7,14.91,0
"501",93.87,2112,17.42,11.09,1
"502",86.06,1971,-2.96,11.75,1
"503",95.82,2186,17.8,6.21,0
"504",93.78,2361,14.23,13.06,1
"505",92.76,2351,5.1,19.36,0
"506",93.76,2420,17.41,6.95,1
"507",93.61,2073,4.12,17.82,1
"508",94.97,1988,12.03,16.51,0
"509",90.69,2474,6.77,20.56,1
"510",88.66,1791,14.91,7.91,0
"511",93.61,2030,8.95,14.57,0
"512",87.21,1881,14.36,12.58,1
"513",97.04,2537,7.45,12.89,1
"514",90.48,2138,13.01,12.87,0
"515",90.53,2148,3.96,16.32,1
"516",89.36,2257,1.24,21.89,0
"517",95.86,2381,7.75,17.7,0
"518",98.28,2555,7.5,18.96,0
"519",96.86,2153,5.7,13.64,0
"520",92.61,2036,13.59,13.08,1
"521",94.77,2514,10.79,11.61,0
"522",92.87,2528,-2,12.84,0
"523",97.89,1973,18.27,7.77,0
"524",96.09,2240,15.65,14.05,1
"525",96.55,2211,2.67,17.54,0
"526",96,2412,11.16,17.71,0
"527",93.01,2341,9.89,19.17,0
"528",92.44,2219,6.1,14.32,0
"529",97.75,2221,11.76,18.38,1
"530",97.78,2100,16.13,10.22,0
"531",87.87,1909,14.48,5.51,0
"532",91.71,2172,7.9,18.4,0
"533",87.74,2170,10.3,13.86,0
"534",97.15,2168,5.25,15.46,0
"535",90.52,2370,6,17.98,0
"536",94.04,2315,3.12,20.28,0
"537",95.89,2054,7.26,6.09,0
"538",93.53,2341,15.48,12.21,0
"539",97.17,2146,3.92,14.57,0
"540",95.51,2177,8.57,16.14,0
"541",95.76,2544,10.12,12.67,0
"542",91.88,2069,10.47,16.44,0
"543",96.72,2249,11.65,16.04,0
"544",96.21,2432,14.25,19.16,0
"545",90.98,1975,11.74,13.99,0
"546",93.89,2514,0.19,20,0
"547",96.27,2287,14.4,14.09,1
"548",95.32,2246,9.96,17.25,0
"549",93.26,2166,10.92,14.99,0
"550",90.87,2216,6.97,2,0
"551",92.31,2215,10.1,15.16,0
"552",63.18,1509,-3.01,17.7,1
"553",94.03,2516,5.67,21.32,0
"554",95.48,2027,16.89,6.53,0
"555",89.97,1888,14,7.31,1
"556",95.75,2137,7.92,14.87,0
"557",92.13,2113,14.14,9.37,1
"558",93.7,2437,9.4,15.8,0
"559",90.66,2190,16.08,4.27,0
"560",92.67,2295,5.24,21.2,0
"561",94.76,2215,17.34,13.73,0
"562",91.67,2094,10.71,13.88,0
"563",95.43,1920,16.92,7.19,1
"564",89.92,1826,15.23,8.93,0
"565",99.48,2430,-3.84,16.13,0
"566",95.79,2462,2.84,20.56,0
"567",95.67,2217,7.97,13.34,0
"568",96.68,2297,10.15,16.72,0
"569",98.34,2015,14.47,4.79,1
"570",93.94,2299,11.37,11.46,0
"571",94.94,2219,16.87,11.41,0
"572",93.16,2084,15.69,1.06,0
"573",96.99,2156,14.5,11.39,0
"574",92.52,2123,10.85,16.72,0
"575",93.93,2421,17.83,10.74,1
"576",94.97,2365,11.71,18.19,1
"577",94.84,2394,8.97,11.32,1
"578",97.69,1870,18.3,3.52,1
"579",96.09,2319,8.16,18.78,0
"580",92.02,2406,6.01,21.21,0
"581",96.23,2103,14.85,9.91,1
"582",96.69,2035,6.85,15.07,0
"583",96.05,2343,15.62,9.54,1
"584",93.52,1799,5.32,7.64,0
"585",92.02,2053,5.51,15.25,0
"586",92.36,2354,7.34,18.52,0
"587",94.34,2395,4.76,16.62,0
"588",84.58,2056,14.11,-9.28,1
"589",91.48,2351,16.8,4.86,0
"590",92.35,2340,9.1,20.24,0
"591",98.42,2363,4.49,18.84,0
"592",90.83,2192,5.02,17.78,0
"593",90.34,1944,7.01,14.48,1
"594",93.44,2056,3.6,15.37,1
"595",91.14,2459,-0.23,19.35,0
"596",92.31,1970,5.88,15.23,0
"597",100.19,1997,14.43,7.24,0
"598",89.95,2107,18.74,0.61,1
"599",94.23,2131,6.86,17.92,0
"600",92.94,2192,0.57,19.57,0
"601",90.56,2053,18.08,9.63,1
"602",93.68,2159,4.93,16.71,0
"603",97.4,2452,2.53,17.39,0
"604",88.84,2001,16.01,9.85,0
"605",91.12,2285,11.73,15.49,0
"606",96.35,2175,13.17,12.25,1
"607",91.6,2241,6.43,13.83,0
"608",96.97,2710,13.55,9.3,0
"609",92.55,2067,5.37,14.89,0
"610",94.18,2209,8.01,19.76,0
"611",94.56,2220,11.34,9.46,0
"612",92.68,2132,14.14,11.39,1
"613",95.78,1940,8.93,16.01,0
"614",97.51,2506,8.7,14.54,0
"615",93.84,2159,10.95,20.46,0
"616",94.93,2517,13.78,15.42,0
"617",93.68,2132,14.08,13.84,0
"618",98.09,2023,11.68,7.3,0
"619",94.46,2108,8.95,13.8,0
"620",93.3,2391,5.57,19.61,0
"621",95.48,2140,15.65,11.8,1
"622",92.91,2024,19.44,11.62,0
"623",89.11,1856,15.97,7.44,1
"624",96.35,2449,13.75,17.43,0
"625",91.12,2193,6.07,5.89,1
"626",92.17,2359,1.99,13.96,0
"627",94.25,2073,8.35,14.16,0
"628",94.58,2250,11.53,16.11,0
"629",94.23,2242,14,12.83,1
"630",96.67,2025,10.6,15.34,0
"631",91.04,2124,13.9,12.33,1
"632",98.04,2203,15.95,7.09,1
"633",94.39,2215,12.19,16.97,0
"634",98.94,2809,5.51,12.11,0
"635",93.2,2387,2.37,18.57,0
"636",87.48,1865,14.29,9.72,0
"637",94.24,2448,12.61,16.94,0
"638",94.74,2322,5.53,19.89,0
"639",94.32,2592,4.85,14.92,0
"640",93.12,2395,7.89,17.35,0
"641",93.01,2051,11.03,11.77,0
"642",95.01,1975,15.22,11.44,1
"643",90.92,2037,15.14,10.04,1
"644",94.57,2396,4.83,21.05,0
"645",93.37,2218,5.91,14.91,1
"646",96.03,2424,2.57,16.72,0
"647",92.97,2309,7.67,16.6,0
"648",94.94,2236,10.78,16.04,0
"649",94.99,2399,9.56,19.4,0
"650",94.97,2297,14.25,17.08,0
"651",94.75,2473,4.21,19.47,0
"652",96.39,2284,5.9,19.22,0
"653",92.63,2135,13.2,13.41,0
"654",94.55,2316,3.08,15.21,0
"655",95.22,2335,8.39,14.73,1
"656",93.14,2180,3.25,14.77,0
"657",95.45,2350,13.64,11.39,1
"658",100.37,2451,8.69,16.59,1
"659",91.68,2074,6.85,15.61,1
"660",93.51,2484,1.89,19.32,0
"661",93.58,2484,4.63,19.12,0
"662",95.06,2090,12.51,11.05,0
"663",87.69,2100,8.15,14.52,1
"664",90.51,2249,15.02,14.45,0
"665",93.11,2064,18.13,8.85,1
"666",92.8,2191,9.37,16.65,1
"667",93.19,2026,14.53,14.45,0
"668",94.1,2536,5.1,15.57,0
"669",94.66,2521,14.87,17.49,1
"670",97.85,2650,3.38,19.49,0
"671",93.92,2410,13.95,16.28,1
"672",92.87,2447,5.97,18.1,0
"673",94.8,2338,7.86,15.8,0
"674",93.55,2350,11.37,16.24,0
"675",95.24,2183,0.56,18.01,0
"676",94.32,2220,16.76,14.4,0
"677",94.28,2299,5.27,12,1
"678",93.78,2388,9.07,14.45,1
"679",94.54,2238,5.73,17.18,0
"680",94.4,2359,1.23,17.35,0
"681",96.57,2104,9.16,11.11,0
"682",94.43,2613,7.6,19.35,0
"683",89.69,1847,3.06,13.38,1
"684",97.05,2257,2.49,18.11,0
"685",95.73,2544,7.95,17.45,1
"686",92.06,2294,11.36,17.41,0
"687",91.04,2247,0.9,8.11,0
"688",89.39,2130,19.57,6.94,0
"689",92.56,2185,5.35,14.02,0
"690",93.93,2179,12.2,12.99,0
"691",96.77,2152,22.33,11.27,1
"692",92.19,2537,4.81,17.79,0
"693",94.33,2225,3.93,19.64,0
"694",97.55,2473,4.93,19.32,0
"695",90.54,2313,12.55,9.38,0
"696",97.78,2146,7.87,16.79,0
"697",93.89,2353,3.29,21.13,0
"698",93.6,2398,8.76,18.09,0
